
Red	Green	Blue		HEX		Name
255	0	255		#FF00FF		Pink
203	153	201		#CB99C9		Purple
179	158	181		#B39EB5		Purple
189	51	164		#BD33A4		Purple
148	0	211		#9400D3		Purple
142	69	133		#8E4585		Purple
139	0	139		#8B008B		Purple
112	41	99		#702963		Purple
93	57	84		#5D3954		Purple
255	240	245		#FFF0F5		Pink
251	204	231		#FBCCE7		Pink
244	154	194		#F49AC2		Pink
207	113	175		#CF71AF		Pink
255	0	127		#FF007F		Pink
135	38	87		#872657		Pink
97	64	81		#614051		Purple
255	209	220		#FFD1DC		Pink
255	192	203		#FFC0CB		Pink
255	183	197		#FFB7C5		Pink
252	142	172		#FC8EAC		Pink
231	84	128		#E75480		Pink
222	93	131		#DE5D83		Pink
222	49	99		#DE3163		Pink
227	11	93		#E30B5D		Pink
224	17	95		#E0115F		Pink
195	33	72		#C32148		Pink
128	0	32		#800020		Red
86	3	25		#560319		Red
255	193	204		#FFC1CC		Pink
229	43	80		#E52B50		Pink
204	78	92		#CC4E5C		Pink
152	119	123		#98777B		Pink
227	38	54		#E32636		Pink
220	20	60		#DC143C		Pink
227	0	34		#E30022		Red
196	30	58		#C41E3A		Red
137	63	69		#893F45		Red
150	0	24		#960018		Red
101	0	11		#65000B		Red
255	250	250		#FFFAFA		White
244	194	194		#F4C2C2		Pink
255	105	97		#FF6961		Pink
255	92	92		#FF5C5C		Red
255	28	0		  #FF1C00		Red
255	8	0		  #FF0800		Red
255	0	0		  #FF0000		Red
205	92	92		#CD5C5C		Red
227	66	52		#E34234		Red
215	59	62		#D73B3E		Red
206	22	32		#CE1620		Red
204	0	0		  #CC0000		Red
178	34	34		#B22222		Red
179	27	27		#B31B1B		Red
164	0	0		  #A40000		Red
128	0	0		  #800000		Red
112	28	28		#701C1C		Red
60	20	20		#3C1414		Brown
50	20	20		#321414		Brown
220	220	220		#DCDCDC		Grey
211	211	211		#D3D3D3		Grey
192	192	192		#C0C0C0		Grey
169	169	169		#A9A9A9		Grey
128	128	128		#808080		Grey
105	105	105		#696969		Grey
0	0	0		#000000		Black
255	255	255		#FFFFFF		White
245	245	245		#F5F5F5		White
255	225	240		#FFFFF0		White
